timestamp,open,high,low,close,volume
2024-01-02T09:30:00Z,185.00,186.50,184.75,186.00,12345678
2024-01-02T09:35:00Z,186.00,187.25,185.80,187.00,9876543
2024-01-02T09:40:00Z,187.00,187.50,186.00,186.50,8765432
2024-01-02T09:45:00Z,186.50,188.00,186.25,187.75,11234567
2024-01-02T09:50:00Z,187.75,188.50,187.00,188.25,10345678
2024-01-02T09:55:00Z,188.25,189.00,187.80,188.00,9234567
2024-01-02T10:00:00Z,188.00,188.75,187.50,188.50,8123456
2024-01-02T10:05:00Z,188.50,189.25,188.00,189.00,7654321
2024-01-02T10:10:00Z,189.00,189.75,188.50,189.50,8901234
2024-01-02T10:15:00Z,189.50,190.00,189.00,189.25,7890123
